Project Name,Package Name,Architecture Smell,Cause of the Smell
carballo,org.vectomatic.svg.chess,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ChessConstants; ChessMode; Main; ChessBoard; ChessCss; Resources; MoveListener]; [Main.MainBinder]. LCC (Lack of Component Cohesion) = 0.25
carballo,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.38. All the dependencies among components: from: org.vectomatic.svg.chess to: com.alonsoruibal.chess.search; from: org.vectomatic.svg.chess to: com.alonsoruibal.chess; from: org.vectomatic.svg.chess to: com.alonsoruibal.chess.bitboard; from: com.alonsoruibal.chess.hash to: com.alonsoruibal.chess; from: com.alonsoruibal.chess.hash to: com.alonsoruibal.chess.bitboard; from: com.alonsoruibal.chess.pgn to: com.alonsoruibal.chess; from: com.alonsoruibal.chess.pgn to: com.alonsoruibal.chess.log; from: com.alonsoruibal.chess.search to: com.alonsoruibal.chess.log; from: com.alonsoruibal.chess.search to: com.alonsoruibal.chess.evaluation; from: com.alonsoruibal.chess.search to: com.alonsoruibal.chess.bitboard; from: com.alonsoruibal.chess.search to: com.alonsoruibal.chess; from: com.alonsoruibal.chess.search to: com.alonsoruibal.chess.tt; from: com.alonsoruibal.chess.movegen to: com.alonsoruibal.chess; from: com.alonsoruibal.chess.movegen to: com.alonsoruibal.chess.bitboard; from: com.alonsoruibal.chess.book to: com.alonsoruibal.chess; from: com.alonsoruibal.chess.book to: com.alonsoruibal.chess.log; from: com.alonsoruibal.chess to: com.alonsoruibal.chess.movegen; from: com.alonsoruibal.chess to: com.alonsoruibal.chess.bitboard; from: com.alonsoruibal.chess to: com.alonsoruibal.chess.hash; from: com.alonsoruibal.chess to: com.alonsoruibal.chess.book; from: com.alonsoruibal.chess to: com.alonsoruibal.chess.log; from: com.alonsoruibal.chess to: com.alonsoruibal.chess.evaluation; from: com.alonsoruibal.chess to: com.alonsoruibal.chess.search; from: com.alonsoruibal.chess to: com.alonsoruibal.chess.pgn; from: com.alonsoruibal.chess to: com.alonsoruibal.chess.tt; from: com.alonsoruibal.chess.evaluation to: com.alonsoruibal.chess.log; from: com.alonsoruibal.chess.evaluation to: com.alonsoruibal.chess; from: com.alonsoruibal.chess.evaluation to: com.alonsoruibal.chess.bitboard; from: com.alonsoruibal.chess.evaluation to: com.alonsoruibal.chess.util; from: com.alonsoruibal.chess.bitboard to: com.alonsoruibal.chess.log; from: com.alonsoruibal.chess.bitboard to: com.alonsoruibal.chess; from: com.alonsoruibal.chess.tt to: com.alonsoruibal.chess.log; from: com.alonsoruibal.chess.tt to: com.alonsoruibal.chess; from: com.alonsoruibal.chess.tt to: com.alonsoruibal.chess.search; from: com.alonsoruibal.chess.tt to: com.alonsoruibal.chess.evaluation; from: com.alonsoruibal.chess.swing to: com.alonsoruibal.chess.log; from: com.alonsoruibal.chess.swing to: com.alonsoruibal.chess.search; from: com.alonsoruibal.chess.swing to: com.alonsoruibal.chess; from: com.alonsoruibal.chess.swing to: com.alonsoruibal.chess.bitboard; from: com.alonsoruibal.chess.swing to: com.alonsoruibal.chess.pgn; from: com.alonsoruibal.chess.epdtest to: com.alonsoruibal.chess.log; from: com.alonsoruibal.chess.epdtest to: com.alonsoruibal.chess.search; from: com.alonsoruibal.chess.epdtest to: com.alonsoruibal.chess; from: com.alonsoruibal.chess.epdtest to: com.alonsoruibal.chess.util; from: (default package) to: com.alonsoruibal.chess.log; from: (default package) to: com.alonsoruibal.chess.uci; from: (default package) to: com.alonsoruibal.chess.search; from: (default package) to: com.alonsoruibal.chess; from: com.alonsoruibal.chess.uci to: com.alonsoruibal.chess; from: com.alonsoruibal.chess.uci to: com.alonsoruibal.chess.search; from: com.alonsoruibal.chess.uci to: com.alonsoruibal.chess.log.
carballo,com.alonsoruibal.chess.pgn,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GameNodeComment; GameNode; GameNodeMove; GameNodeVariation; PgnParser; NumericAnnotationGlyphs; Game; PgnImportExport; GameNodeResult]; [PgnFile]. LCC (Lack of Component Cohesion) = 0.2
carballo,com.alonsoruibal.chess.search,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.alonsoruibal.chess.tt
carballo,com.alonsoruibal.chess,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 34
carballo,com.alonsoruibal.chess,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.alonsoruibal.chess.movegen; com.alonsoruibal.chess.hash; com.alonsoruibal.chess.book; com.alonsoruibal.chess.evaluation; com.alonsoruibal.chess.search; com.alonsoruibal.chess.pgn; com.alonsoruibal.chess.tt
carballo,com.alonsoruibal.chess,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alonsoruibal.chess; com.alonsoruibal.chess.movegen; com.alonsoruibal.chess
carballo,com.alonsoruibal.chess,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alonsoruibal.chess; com.alonsoruibal.chess.bitboard; com.alonsoruibal.chess
carballo,com.alonsoruibal.chess,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alonsoruibal.chess; com.alonsoruibal.chess.hash; com.alonsoruibal.chess
carballo,com.alonsoruibal.chess,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alonsoruibal.chess; com.alonsoruibal.chess.book; com.alonsoruibal.chess
carballo,com.alonsoruibal.chess,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alonsoruibal.chess; com.alonsoruibal.chess.evaluation; com.alonsoruibal.chess
