Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
carballo,org.vectomatic.svg.chess,Main,getHeight,Magic Number,The method contains a magic number: 150,133
carballo,org.vectomatic.svg.chess,Main,onModuleLoad,Magic Number,The method contains a magic number: 2,137
carballo,org.vectomatic.svg.chess,Main,onModuleLoad,Magic Number,The method contains a magic number: 500,137
carballo,org.vectomatic.svg.chess,Main,run,Magic Number,The method contains a magic number: 2,176
carballo,org.vectomatic.svg.chess,Main,nextMove,Complex Method,Cyclomatic complexity of the method is 10,244
carballo,org.vectomatic.svg.chess,Main,nextMove,Magic Number,The method contains a magic number: 99,244
carballo,org.vectomatic.svg.chess,Main,nextMove,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@251a0551,244
carballo,org.vectomatic.svg.chess,Main,computerMove,Magic Number,The method contains a magic number: 1000,286
carballo,org.vectomatic.svg.chess,Main,computerMove,Magic Number,The method contains a magic number: 100,286
carballo,org.vectomatic.svg.chess,Main,run,Magic Number,The method contains a magic number: 1000,292
carballo,org.vectomatic.svg.chess,Main,restart,Magic Number,The method contains a magic number: 960,314
carballo,org.vectomatic.svg.chess,Main,onKeyDown,Complex Method,Cyclomatic complexity of the method is 14,391
carballo,org.vectomatic.svg.chess,Main,onKeyDown,Magic Number,The method contains a magic number: 113,391
carballo,org.vectomatic.svg.chess,Main,onKeyDown,Magic Number,The method contains a magic number: 117,391
carballo,org.vectomatic.svg.chess,Main,onKeyDown,Magic Number,The method contains a magic number: 46,391
carballo,org.vectomatic.svg.chess,Main,onKeyDown,Magic Number,The method contains a magic number: 188,391
carballo,org.vectomatic.svg.chess,Main,onKeyDown,Magic Number,The method contains a magic number: 190,391
carballo,org.vectomatic.svg.chess,Main,onKeyDown,Magic Number,The method contains a magic number: 27,391
carballo,org.vectomatic.svg.chess,ChessBoard,ChessBoard,Magic Number,The method contains a magic number: 8,87
carballo,org.vectomatic.svg.chess,ChessBoard,ChessBoard,Magic Number,The method contains a magic number: 8,87
carballo,org.vectomatic.svg.chess,ChessBoard,ChessBoard,Magic Number,The method contains a magic number: 8,87
carballo,org.vectomatic.svg.chess,ChessBoard,update,Long Parameter List,The method has 5 parameters. ,179
carballo,org.vectomatic.svg.chess,ChessBoard,updateSquare,Complex Conditional,The conditional expression lastMove != 0 && (i == Move.getFromIndex(lastMove) || i == Move.getToIndex(lastMove)) is complex.,190
carballo,org.vectomatic.svg.chess,ChessBoard,updateSquare,Magic Number,The method contains a magic number: 8,190
carballo,org.vectomatic.svg.chess,ChessBoard,updateSquare,Magic Number,The method contains a magic number: 2,190
carballo,org.vectomatic.svg.chess,ChessBoard,update,Magic Number,The method contains a magic number: 64,226
carballo,org.vectomatic.svg.chess,ChessBoard,getX,Magic Number,The method contains a magic number: 7,304
carballo,org.vectomatic.svg.chess,ChessBoard,getX,Magic Number,The method contains a magic number: 8,304
carballo,org.vectomatic.svg.chess,ChessBoard,getY,Magic Number,The method contains a magic number: 7,308
carballo,org.vectomatic.svg.chess,ChessBoard,getY,Magic Number,The method contains a magic number: 8,308
carballo,org.vectomatic.svg.chess,ChessBoard,getAlgebraic,Complex Conditional,The conditional expression x >= 0 && x <= 7 && y >= 0 && y <= 7 is complex.,312
carballo,org.vectomatic.svg.chess,ChessBoard,getAlgebraic,Magic Number,The method contains a magic number: 7,312
carballo,org.vectomatic.svg.chess,ChessBoard,getAlgebraic,Magic Number,The method contains a magic number: 7,312
carballo,org.vectomatic.svg.chess,ChessBoard,getAlgebraic,Magic Number,The method contains a magic number: 2,312
carballo,org.vectomatic.svg.chess,ChessBoard,up,Magic Number,The method contains a magic number: 8,377
carballo,org.vectomatic.svg.chess,ChessBoard,up,Magic Number,The method contains a magic number: 63,377
carballo,org.vectomatic.svg.chess,ChessBoard,up,Magic Number,The method contains a magic number: 8,377
carballo,org.vectomatic.svg.chess,ChessBoard,down,Magic Number,The method contains a magic number: 8,387
carballo,org.vectomatic.svg.chess,ChessBoard,down,Magic Number,The method contains a magic number: 8,387
carballo,org.vectomatic.svg.chess,ChessBoard,left,Magic Number,The method contains a magic number: 8,397
carballo,org.vectomatic.svg.chess,ChessBoard,left,Magic Number,The method contains a magic number: 7,397
carballo,org.vectomatic.svg.chess,ChessBoard,right,Magic Number,The method contains a magic number: 8,407
carballo,org.vectomatic.svg.chess,ChessBoard,doMove,Long Statement,The length of the statement "final int move=Move.getFromString(board`BitboardUtils.index2Algebraic(fromIndex) + BitboardUtils.index2Algebraic(toIndex)`true);" is 128.,435
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Complex Conditional,The conditional expression (file > 0 && board[file - 1][3] == 'p') || (file < 7 && board[file + 1][3] == 'p') is complex.,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Complex Conditional,The conditional expression (file > 0 && board[file - 1][4] == 'P') || (file < 7 && board[file + 1][4] == 'P') is complex.,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Complex Method,Cyclomatic complexity of the method is 19,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 8,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 8,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 2,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 3,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 7,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 7,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 7,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 64,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 8,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 2,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 3,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 3,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 7,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 3,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 4,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 7,131
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,Magic Number,The method contains a magic number: 4,131
carballo,com.alonsoruibal.chess.hash,ZobristKey,getKeyPieceIndex,Complex Method,Cyclomatic complexity of the method is 13,28
carballo,com.alonsoruibal.chess.hash,ZobristKey,getKey,Complex Conditional,The conditional expression (passant != 0) && (((!board.getTurn() && (((passant << 9) | (passant << 7)) & board.blacks & board.pawns) != 0)) || ((board.getTurn() && (((passant >>> 9) | (passant >>> 7)) & board.whites & board.pawns) != 0))) is complex.,58
carballo,com.alonsoruibal.chess.hash,ZobristKey,getKey,Complex Method,Cyclomatic complexity of the method is 8,58
carballo,com.alonsoruibal.chess.hash,ZobristKey,getKey,Long Statement,The length of the statement "if ((passant != 0) && (((!board.getTurn() && (((passant << 9) | (passant << 7)) & board.blacks & board.pawns) != 0)) || ((board.getTurn() && (((passant >>> 9) | (passant >>> 7)) & board.whites & board.pawns) != 0)))) {" is 218.,58
carballo,com.alonsoruibal.chess.hash,ZobristKey,getKey,Magic Number,The method contains a magic number: 9,58
carballo,com.alonsoruibal.chess.hash,ZobristKey,getKey,Magic Number,The method contains a magic number: 7,58
carballo,com.alonsoruibal.chess.hash,ZobristKey,getKey,Magic Number,The method contains a magic number: 9,58
carballo,com.alonsoruibal.chess.hash,ZobristKey,getKey,Magic Number,The method contains a magic number: 7,58
carballo,com.alonsoruibal.chess.pgn,PgnImportExport,getPgn,Complex Method,Cyclomatic complexity of the method is 15,33
carballo,com.alonsoruibal.chess.pgn,PgnImportExport,getPgn,Long Parameter List,The method has 6 parameters. ,33
carballo,com.alonsoruibal.chess.pgn,PgnImportExport,getPgn,Long Statement,The length of the statement "sb.append("[Date \"").append(d.getYear() + 1900).append(".").append(d.getMonth() + 1).append(".").append(d.getDate()).append("\"]\n");" is 134.,33
carballo,com.alonsoruibal.chess.pgn,PgnImportExport,getPgn,Magic Number,The method contains a magic number: 1900,33
carballo,com.alonsoruibal.chess.pgn,PgnImportExport,getPgn,Magic Number,The method contains a magic number: 99,33
carballo,com.alonsoruibal.chess.pgn,PgnImportExport,getPgn,Magic Number,The method contains a magic number: 80,33
carballo,com.alonsoruibal.chess.pgn,PgnParser,parsePgn,Complex Conditional,The conditional expression !"".equals(headerValue) && !"?".equals(headerValue) && !"-".equals(headerValue) is complex.,20
carballo,com.alonsoruibal.chess.pgn,PgnParser,parsePgn,Complex Conditional,The conditional expression "1-0".equals(s) || "0-1".equals(s) || "1/2-1/2".equals(s)|| "½-½".equals(s)|| "*".equals(s) is complex.,20
carballo,com.alonsoruibal.chess.pgn,PgnParser,parsePgn,Complex Method,Cyclomatic complexity of the method is 41,20
carballo,com.alonsoruibal.chess.pgn,PgnParser,parsePgn,Long Method,The method has 167 lines of code.,20
carballo,com.alonsoruibal.chess.pgn,NumericAnnotationGlyphs,translate,Complex Method,Cyclomatic complexity of the method is 38,5
carballo,com.alonsoruibal.chess.pgn,PgnFile,getGameNumber,Empty catch clause,The method has an empty catch block.,12
carballo,com.alonsoruibal.chess.search,SearchStats,print,Long Statement,The length of the statement "logger.debug("PV Cut = " + SearchStats.pvCutNodes + " "+ (100 * SearchStats.pvCutNodes / (SearchStats.pvCutNodes + SearchStats.pvAllNodes + 1))+ "%");" is 150.,35
carballo,com.alonsoruibal.chess.search,SearchStats,print,Long Statement,The length of the statement "logger.debug("Null Cut = " + SearchStats.nullCutNodes + " "+ (100 * SearchStats.nullCutNodes / (SearchStats.nullCutNodes + SearchStats.nullAllNodes + 1))+ "%");" is 160.,35
carballo,com.alonsoruibal.chess.search,SearchStats,print,Long Statement,The length of the statement "logger.debug("TT Eval Hits = " + SearchStats.ttEvalHit + " "+ (100 * SearchStats.ttEvalHit / SearchStats.ttEvalProbe)+ "%");" is 124.,35
carballo,com.alonsoruibal.chess.search,SearchStats,print,Long Statement,The length of the statement "logger.debug("TT PV Hits = " + SearchStats.ttPvHit + " "+ (1000000 * SearchStats.ttPvHit / SearchStats.ttProbe)+ " per 10^6");" is 126.,35
carballo,com.alonsoruibal.chess.search,SearchStats,print,Long Statement,The length of the statement "logger.debug("Null Move Hits = " + SearchStats.nullMoveHit + " "+ (100 * SearchStats.nullMoveHit / SearchStats.nullMoveProbe)+ "%");" is 132.,35
carballo,com.alonsoruibal.chess.search,SearchStats,print,Long Statement,The length of the statement "logger.debug("Razoring Hits = " + SearchStats.razoringHit + " "+ (100 * SearchStats.razoringHit / SearchStats.razoringProbe)+ "%");" is 131.,35
carballo,com.alonsoruibal.chess.search,SearchStats,print,Long Statement,The length of the statement "logger.debug("S.Extensions Hits = " + SearchStats.singularExtensionHit + " "+ (100 * SearchStats.singularExtensionHit / SearchStats.singularExtensionProbe)+ "%");" is 162.,35
carballo,com.alonsoruibal.chess.search,SearchStats,print,Magic Number,The method contains a magic number: 100,35
