Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
carballo,org.vectomatic.svg.chess,ChessConstants,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 40 methods
carballo,org.vectomatic.svg.chess,ChessMode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
carballo,org.vectomatic.svg.chess,Main,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
carballo,org.vectomatic.svg.chess,Main.MainBinder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
carballo,org.vectomatic.svg.chess,ChessBoard,Feature Envy,The tool detected a instance of this smell because pieceOfMovingColor is more interested in members of the type: Board
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: getKey
carballo,com.alonsoruibal.chess.hash,ZobristKey,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: exclusionKey; pawn; rook; knight; bishop; queen; king; whiteKingSideCastling; whiteQueenSideCastling; blackKingSideCastling; blackQueenSideCastling; passantFile; whiteMove
carballo,com.alonsoruibal.chess.hash,ZobristKey,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BitboardAttacks; Board; LegalMoveGenerator; Move; AttacksInfo; ZobristKey
carballo,com.alonsoruibal.chess.pgn,GameNodeComment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
carballo,com.alonsoruibal.chess.pgn,GameNodeComment,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: comment
carballo,com.alonsoruibal.chess.pgn,GameNodeComment,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): GameNode
carballo,com.alonsoruibal.chess.pgn,GameNodeVariation,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: variation
carballo,com.alonsoruibal.chess.pgn,GameNodeVariation,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): GameNode
carballo,com.alonsoruibal.chess.pgn,GameNodeResult,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
carballo,com.alonsoruibal.chess.pgn,GameNodeResult,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: result
carballo,com.alonsoruibal.chess.pgn,GameNodeResult,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): GameNode
carballo,com.alonsoruibal.chess.pgn,NumericAnnotationGlyphs,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: translate
carballo,com.alonsoruibal.chess.pgn,GameNode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
carballo,com.alonsoruibal.chess.pgn,Game,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 32 public methods
carballo,com.alonsoruibal.chess.pgn,GameNodeMove,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: number; move; annotation
carballo,com.alonsoruibal.chess.pgn,GameNodeMove,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): GameNode
carballo,com.alonsoruibal.chess.pgn,PgnFile,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: UTF8_BOM
carballo,com.alonsoruibal.chess.search,SearchObserver,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MoveIterator; SearchEngine; SearchObserver; SearchStatusInfo; TranspositionTable; Node
carballo,com.alonsoruibal.chess.search,SearchStats,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: logger; DEBUG; pvCutNodes; pvAllNodes; nullCutNodes; nullAllNodes; aspirationWindowProbe; aspirationWindowHit; futilityHit; razoringProbe; razoringHit; singularExtensionProbe; singularExtensionHit; nullMoveProbe; nullMoveHit; ttProbe; ttPvHit; ttLBHit; ttUBHit; ttEvalHit; ttEvalProbe
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 36 public methods
carballo,com.alonsoruibal.chess.search,Node,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: distanceToInitialPly; move; ttMove; killerMove1; killerMove2; staticEval; attacksInfo; moveIterator
carballo,com.alonsoruibal.chess.search,SearchEngine,Feature Envy,The tool detected a instance of this smell because boardAllowsNullMove is more interested in members of the type: Board
carballo,com.alonsoruibal.chess.search,SearchEngine,Feature Envy,The tool detected a instance of this smell because canUseTT is more interested in members of the type: TranspositionTable
carballo,com.alonsoruibal.chess.search,SearchEngine,Feature Envy,The tool detected a instance of this smell because refineEval is more interested in members of the type: TranspositionTable
carballo,com.alonsoruibal.chess.search,SearchEngine,Feature Envy,The tool detected a instance of this smell because evaluateDraw is more interested in members of the type: Board
carballo,com.alonsoruibal.chess.search,SearchEngine,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: logger; debug; searchLock; startStopSearchLock; MAX_DEPTH; VALUE_IS_MATE; NODE_ROOT; NODE_PV; NODE_NULL; PLY; HISTORY_MAX; HISTORY_MIN; HISTORY_PRUNING_TRESHOLD; LMR_DEPTHS_NOT_REDUCED; SINGULAR_MOVE_DEPTH; IID_DEPTH; IID_MARGIN; SINGULAR_EXTENSION_MARGIN_PER_PLY; ASPIRATION_WINDOW_SIZES; FUTILITY_MARGIN_QS; RAZORING_MARGIN; FUTILITY_MARGIN_CHILD; FUTILITY_MARGIN_PARENT; NODE_EVAL_DIFF_MIN; NODE_EVAL_DIFF_MAX; searchParameters; initialized; searching; config; stop; thinkToTime; thinkToNodes; thinkToDepth; board; observer; evaluator; tt; nodes; history; bestMoveScore; globalBestMove; globalPonderMove; initialPly; depth; selDepth; rootScore; aspWindows; panicTime; engineIsWhite; startTime; nodeCount; random; logMatrix
carballo,com.alonsoruibal.chess.search,SearchEngine,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
carballo,com.alonsoruibal.chess.search,SearchFinishedException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID
carballo,com.alonsoruibal.chess.search,SearchParameters,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
carballo,com.alonsoruibal.chess.search,MoveIterator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: GENERATE_ALL; GENERATE_CAPTURES_PROMOS; GENERATE_CAPTURES_PROMOS_CHECKS; PHASE_TT; PHASE_GEN_CAPTURES; PHASE_GOOD_CAPTURES_AND_PROMOS; PHASE_EQUAL_CAPTURES; PHASE_GEN_NON_CAPTURES; PHASE_KILLER1; PHASE_KILLER2; PHASE_KILLER3; PHASE_KILLER4; PHASE_NON_CAPTURES; PHASE_BAD_CAPTURES; PHASE_END; VICTIM_PIECE_VALUES; AGGRESSOR_PIECE_VALUES; SCORE_PROMOTION_QUEEN; SCORE_UNDERPROMOTION; SCORE_LOWEST; SEE_NOT_CALCULATED; board; searchEngine; ai; ttMove; movesToGenerate; move; lastMoveSee; lastMoveScore; lastMoveIsKiller; killer1; killer2; killer3; killer4; foundKiller1; foundKiller2; foundKiller3; foundKiller4; checkEvasion; us; them; turn; all; mines; others; goodCaptureIndex; equalCaptureIndex; badCaptureIndex; nonCaptureIndex; goodCaptures; goodCapturesSee; goodCapturesScores; badCaptures; badCapturesScores; equalCaptures; equalCapturesSee; equalCapturesScores; nonCaptures; nonCapturesSee; nonCapturesScores; depth; phase; bbAttacks
carballo,com.alonsoruibal.chess.search,MoveIterator,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 136
carballo,com.alonsoruibal.chess.movegen,MagicMoveGenerator,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: generateMoves
carballo,com.alonsoruibal.chess.movegen,LegalMoveGenerator,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BitboardAttacks; Board; LegalMoveGenerator; Move; AttacksInfo; ZobristKey
carballo,com.alonsoruibal.chess.book,JSONBook,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
carballo,com.alonsoruibal.chess.book,ArrayBufferBook,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
carballo,com.alonsoruibal.chess,Board,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MAX_MOVES; FEN_START_POSITION; CHESS960_START_POSITIONS; CHESS960_START_POSITIONS_BISHOPS; FLAG_TURN; FLAG_WHITE_KINGSIDE_CASTLING; FLAG_WHITE_QUEENSIDE_CASTLING; FLAG_BLACK_KINGSIDE_CASTLING; FLAG_BLACK_QUEENSIDE_CASTLING; FLAG_CHECK; FLAGS_PASSANT; CASTLING_KING_DESTINY_INDEX; CASTLING_KING_DESTINY_SQUARE; CASTLING_ROOK_DESTINY_INDEX; CASTLING_ROOK_DESTINY_SQUARE; SEE_PIECE_VALUES; legalMoveGenerator; legalMoves; legalMoveCount; legalMovesKey; movesSan; whites; blacks; pawns; rooks; queens; bishops; knights; kings; flags; fiftyMovesRule; initialMoveNumber; moveNumber; outBookMove; key; initialFen; keyHistory; moveHistory; whitesHistory; blacksHistory; pawnsHistory; rooksHistory; queensHistory; bishopsHistory; knightsHistory; kingsHistory; flagsHistory; fiftyMovesRuleHistory; seeGain; castlingRooks; chess960; bbAttacks
carballo,com.alonsoruibal.chess,Board,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BitboardAttacks; Board; LegalMoveGenerator; Move; AttacksInfo; ZobristKey
carballo,com.alonsoruibal.chess,Board,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 51 public methods
carballo,com.alonsoruibal.chess,Config,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_TRANSPOSITION_TABLE_SIZE; DEFAULT_PONDER; DEFAULT_USE_BOOK; DEFAULT_BOOK_KNOWGLEDGE; DEFAULT_EVALUATOR; DEFAULT_CONTEMPT_FACTOR; DEFAULT_UCI_CHESS960; DEFAULT_RAND; DEFAULT_LIMIT_STRENGTH; DEFAULT_ELO; transpositionTableSize; ponder; useBook; book; evaluator; contemptFactor; uciChess960; rand; bookKnowledge; limitStrength; elo
carballo,com.alonsoruibal.chess,Config,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
carballo,com.alonsoruibal.chess,Pgn,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
carballo,com.alonsoruibal.chess,Pgn,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
carballo,com.alonsoruibal.chess,Piece,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PAWN; KNIGHT; BISHOP; ROOK; QUEEN; KING
carballo,com.alonsoruibal.chess,Piece,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: PAWN; KNIGHT; BISHOP; ROOK; QUEEN; KING
carballo,com.alonsoruibal.chess,Move,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NONE; NULL; NONE_STRING; NULL_STRING; PIECE_LETTERS_LOWERCASE; PIECE_LETTERS_UPPERCASE; TYPE_KINGSIDE_CASTLING; TYPE_QUEENSIDE_CASTLING; TYPE_PASSANT; TYPE_PROMOTION_QUEEN; TYPE_PROMOTION_KNIGHT; TYPE_PROMOTION_BISHOP; TYPE_PROMOTION_ROOK; TYPE_PROMOTION_KING; CHECK_MASK; CAPTURE_MASK
carballo,com.alonsoruibal.chess,Move,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
carballo,com.alonsoruibal.chess,Square,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ALL; WHITES; BLACKS; H1; G1; F1; E1; D1; C1; B1; A1; H2; G2; F2; E2; D2; C2; B2; A2; H3; G3; F3; E3; D3; C3; B3; A3; H4; G4; F4; E4; D4; C4; B4; A4; H5; G5; F5; E5; D5; C5; B5; A5; H6; G6; F6; E6; D6; C6; B6; A6; H7; G7; F7; E7; D7; C7; B7; A7; H8; G8; F8; E8; D8; C8; B8; A8
carballo,com.alonsoruibal.chess,Square,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: ALL; WHITES; BLACKS; H1; G1; F1; E1; D1; C1; B1; A1; H2; G2; F2; E2; D2; C2; B2; A2; H3; G3; F3; E3; D3; C3; B3; A3; H4; G4; F4; E4; D4; C4; B4; A4; H5; G5; F5; E5; D5; C5; B5; A5; H6; G6; F6; E6; D6; C6; B6; A6; H7; G7; F7; E7; D7; C7; B7; A7; H8; G8; F8; E8; D8; C8; B8; A8
carballo,com.alonsoruibal.chess,Color,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: W; B
carballo,com.alonsoruibal.chess,Color,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: W; B
carballo,com.alonsoruibal.chess,TestColors,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ANSI_RESET; ANSI_RED; ANSI_GREEN; ANSI_WHITE
carballo,com.alonsoruibal.chess,TestColors,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ANSI_RESET; ANSI_RED; ANSI_GREEN; ANSI_WHITE
carballo,com.alonsoruibal.chess,MateTest,Feature Envy,The tool detected a instance of this smell because testPosition is more interested in members of the type: SearchEngine
