Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
carballo,com.alonsoruibal.chess,MoveIteratorPerftTest,testInitialPosition,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
carballo,com.alonsoruibal.chess,MoveIteratorPerftTest,testPosition2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
carballo,com.alonsoruibal.chess,MoveIteratorPerftTest,testPosition3,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
carballo,com.alonsoruibal.chess,MoveIteratorPerftTest,testPosition4,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
carballo,com.alonsoruibal.chess,MoveIteratorPerftTest,testPosition5,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
carballo,com.alonsoruibal.chess,MateTest,testBasic1,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,MateTest,testBasic2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,MateTest,testMate1,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,MateTest,testMate2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,MateTest,testMate3,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,MateTest,testMate4,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,MateTest,testMate5,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,MateTest,testMate6,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,MateTest,testMate7,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,MateTest,testMate8,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,MateTest,testMate9,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,MateTest,testMate10,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,EvaluatorTest,testPawnClassification,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 35
carballo,com.alonsoruibal.chess,EvaluatorTest,testBishopBonus,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,EvaluatorTest,testSBDCastling,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,PerformanceTest,testPseudoLegalMoveGenPerf,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,PerformanceTest,testMoveIteratorNewNewPerf,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,PerformanceTest,testDoMovePerf,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,PerformanceTest,testLegalMoveGenPerf,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,PerformanceTest,testZobrishKeyPerf,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,KPKBitbaseTest,testPawnPromotion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
carballo,com.alonsoruibal.chess,KPKBitbaseTest,testKingCapturesPawn,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
carballo,com.alonsoruibal.chess,KPKBitbaseTest,testPositions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
carballo,com.alonsoruibal.chess,SeeTest,test1,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,SeeTest,test2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,SeeTest,test3,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,SeeTest,test4,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,SeeTest,testNoOtherPiecesAttack,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,SeeTest,testSeeError,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,SeeTest,testSeeEnpassant,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
carballo,com.alonsoruibal.chess,MoveTest,toSanTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
carballo,com.alonsoruibal.chess,ZobristKeyTest,testBoardZobristKey,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
carballo,com.alonsoruibal.chess,ZobristKeyTest,testBoardZobristKey,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
carballo,com.alonsoruibal.chess,ZobristKeyTest,testZobristKey1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
carballo,com.alonsoruibal.chess,ZobristKeyTest,testZobristKey2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
carballo,com.alonsoruibal.chess,ZobristKeyTest,testZobristKey3,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
