Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
carballo,org.vectomatic.svg.chess,Main,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
carballo,com.alonsoruibal.chess.hash,ZobristKey,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: exclusionKey; pawn; rook; knight; bishop; queen; king; whiteKingSideCastling; whiteQueenSideCastling; blackKingSideCastling; blackQueenSideCastling; passantFile; whiteMove
carballo,com.alonsoruibal.chess.pgn,PgnFile,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UTF8_BOM
carballo,com.alonsoruibal.chess.search,SearchStats,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEBUG; pvCutNodes; pvAllNodes; nullCutNodes; nullAllNodes; aspirationWindowProbe; aspirationWindowHit; futilityHit; razoringProbe; razoringHit; singularExtensionProbe; singularExtensionHit; nullMoveProbe; nullMoveHit; ttProbe; ttPvHit; ttLBHit; ttUBHit; ttEvalHit; ttEvalProbe
carballo,com.alonsoruibal.chess.search,SearchEngine,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MAX_DEPTH; VALUE_IS_MATE; HISTORY_MAX; HISTORY_MIN
carballo,com.alonsoruibal.chess.search,SearchEngine,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
carballo,com.alonsoruibal.chess.search,MoveIterator,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: GENERATE_ALL; GENERATE_CAPTURES_PROMOS; GENERATE_CAPTURES_PROMOS_CHECKS
carballo,com.alonsoruibal.chess.search,MoveIterator,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
carballo,com.alonsoruibal.chess,Board,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MAX_MOVES; FEN_START_POSITION; CHESS960_START_POSITIONS; CHESS960_START_POSITIONS_BISHOPS; CASTLING_KING_DESTINY_INDEX; CASTLING_KING_DESTINY_SQUARE; CASTLING_ROOK_DESTINY_INDEX; CASTLING_ROOK_DESTINY_SQUARE; SEE_PIECE_VALUES
carballo,com.alonsoruibal.chess,Board,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
carballo,com.alonsoruibal.chess,Config,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_TRANSPOSITION_TABLE_SIZE; DEFAULT_PONDER; DEFAULT_USE_BOOK; DEFAULT_BOOK_KNOWGLEDGE; DEFAULT_EVALUATOR; DEFAULT_CONTEMPT_FACTOR; DEFAULT_UCI_CHESS960; DEFAULT_RAND; DEFAULT_LIMIT_STRENGTH; DEFAULT_ELO
carballo,com.alonsoruibal.chess,Piece,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PAWN; KNIGHT; BISHOP; ROOK; QUEEN; KING
