Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
carballo,org.vectomatic.svg.chess,ChessConstants,1,0,40,0,43,40,0,0,-1.0,2,0,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/gwtgui/src/main/java/org/vectomatic/svg/chess/ChessConstants.java,23
carballo,org.vectomatic.svg.chess,Resources,1,0,2,0,5,2,0,0,-1.0,2,1,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/gwtgui/src/main/java/org/vectomatic/svg/chess/Resources.java,24
carballo,org.vectomatic.svg.chess,ChessMode,0,0,0,0,25,0,0,0,-1.0,1,1,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/gwtgui/src/main/java/org/vectomatic/svg/chess/ChessMode.java,20
carballo,org.vectomatic.svg.chess,MoveListener,0,0,1,0,3,1,1,0,-1.0,1,0,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/gwtgui/src/main/java/org/vectomatic/svg/chess/MoveListener.java,3
carballo,org.vectomatic.svg.chess,Main,30,0,21,16,0,55,0,1,0.14285714285714285,0,12,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/gwtgui/src/main/java/org/vectomatic/svg/chess/Main.java,46
carballo,org.vectomatic.svg.chess,Main.MainBinder,0,0,0,0,2,0,0,0,-1.0,0,0,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/gwtgui/src/main/java/org/vectomatic/svg/chess/Main.java,50
carballo,org.vectomatic.svg.chess,ChessBoard,20,0,24,17,309,53,0,0,0.0,1,6,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/gwtgui/src/main/java/org/vectomatic/svg/chess/ChessBoard.java,33
carballo,org.vectomatic.svg.chess,ChessCss,0,0,8,0,10,8,0,0,-1.0,3,0,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/gwtgui/src/main/java/org/vectomatic/svg/chess/ChessCss.java,22
carballo,com.alonsoruibal.chess.util,StringUtils,1,0,2,2,9,2,0,0,0.0,2,0,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/util/StringUtils.java,3
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,5,0,1,1,86,19,0,0,0.0,1,0,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/hash/ZobristKeyFen.java,11
carballo,com.alonsoruibal.chess.hash,ZobristKey,13,13,2,2,67,21,0,0,0.0,3,3,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/hash/ZobristKey.java,11
carballo,com.alonsoruibal.chess.pgn,GameNodeComment,1,1,2,2,9,2,0,1,0.0,0,0,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/pgn/GameNodeComment.java,3
carballo,com.alonsoruibal.chess.pgn,GameNodeVariation,1,1,4,4,15,4,0,1,0.0,2,1,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/pgn/GameNodeVariation.java,5
carballo,com.alonsoruibal.chess.pgn,PgnImportExport,0,0,3,3,91,20,0,0,-1.0,4,4,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/pgn/PgnImportExport.java,8
carballo,com.alonsoruibal.chess.pgn,PgnParser,1,0,3,2,183,43,0,0,0.0,1,5,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/pgn/PgnParser.java,7
carballo,com.alonsoruibal.chess.pgn,GameNodeResult,1,1,2,2,9,2,0,1,0.0,0,0,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/pgn/GameNodeResult.java,3
carballo,com.alonsoruibal.chess.pgn,NumericAnnotationGlyphs,0,0,1,1,81,38,0,0,-1.0,1,0,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/pgn/NumericAnnotationGlyphs.java,3
carballo,com.alonsoruibal.chess.pgn,GameNode,0,0,0,0,2,0,4,0,-1.0,1,0,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/pgn/GameNode.java,3
carballo,com.alonsoruibal.chess.pgn,Game,16,0,32,32,125,35,0,0,0.5,2,1,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/pgn/Game.java,3
carballo,com.alonsoruibal.chess.pgn,GameNodeMove,3,3,2,2,13,2,0,1,0.0,1,0,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/pgn/GameNodeMove.java,3
carballo,com.alonsoruibal.chess.pgn,PgnFile,1,1,1,1,40,7,0,0,0.0,3,0,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/jse/src/main/java/com/alonsoruibal/chess/pgn/PgnFile.java,8
carballo,com.alonsoruibal.chess.search,SearchObserver,0,0,2,0,4,2,0,0,-1.0,1,1,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/search/SearchObserver.java,3
carballo,com.alonsoruibal.chess.search,SearchStats,21,20,1,1,51,7,0,0,0.0,1,1,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/search/SearchStats.java,5
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,18,0,36,36,185,47,0,0,0.25,7,2,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/search/SearchStatusInfo.java,5
carballo,com.alonsoruibal.chess.search,Node,8,8,3,3,30,3,0,0,0.0,1,5,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/search/Node.java,7
carballo,com.alonsoruibal.chess.search,SearchEngine,53,8,36,22,779,164,1,0,0.0,13,14,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/search/SearchEngine.java,19
carballo,com.alonsoruibal.chess.search,SearchFinishedException,1,0,0,0,3,0,0,0,-1.0,1,0,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/search/SearchFinishedException.java,3
carballo,com.alonsoruibal.chess.search,SearchParameters,14,0,27,27,137,33,0,0,0.1111111111111111,11,1,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/search/SearchParameters.java,7
carballo,com.alonsoruibal.chess.search,MoveIterator,63,4,19,9,607,136,0,0,0.0,5,8,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/search/MoveIterator.java,11
carballo,com.alonsoruibal.chess.search,SearchEngineThreaded,1,0,4,4,38,6,0,1,0.75,2,2,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/jse/src/main/java/com/alonsoruibal/chess/search/SearchEngineThreaded.java,5
carballo,com.alonsoruibal.chess.movegen,MoveGenerator,0,0,1,0,3,1,1,0,-1.0,4,1,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/movegen/MoveGenerator.java,5
carballo,com.alonsoruibal.chess.movegen,MagicMoveGenerator,6,0,4,1,110,25,1,1,0.0,0,6,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/movegen/MagicMoveGenerator.java,10
carballo,com.alonsoruibal.chess.movegen,LegalMoveGenerator,0,0,1,1,16,3,0,2,-1.0,1,2,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/movegen/LegalMoveGenerator.java,6
carballo,com.alonsoruibal.chess.book,Book,0,0,1,0,10,1,3,0,-1.0,1,1,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/book/Book.java,6
carballo,com.alonsoruibal.chess.book,JSONBook,4,0,7,4,67,13,0,1,0.2857142857142857,0,2,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/gwt/src/main/java/com/alonsoruibal/chess/book/JSONBook.java,30
carballo,com.alonsoruibal.chess.book,ArrayBufferBook,5,0,4,3,76,10,0,1,0.0,0,2,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/gwt/src/main/java/com/alonsoruibal/chess/book/ArrayBufferBook.java,11
carballo,com.alonsoruibal.chess.book,FileBook,6,0,4,3,79,10,0,1,0.0,1,3,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/jse/src/main/java/com/alonsoruibal/chess/book/FileBook.java,14
carballo,com.alonsoruibal.chess,Board,52,26,56,51,0,190,0,0,0.0,45,9,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/Board.java,12
carballo,com.alonsoruibal.chess,Config,21,16,21,20,102,22,0,0,0.38095238095238093,8,1,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/Config.java,5
carballo,com.alonsoruibal.chess,Pgn,18,0,22,21,322,73,0,0,0.13636363636363635,0,3,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/Pgn.java,8
carballo,com.alonsoruibal.chess,Piece,6,6,0,0,8,0,0,0,-1.0,6,0,/Users/jesterpisces/Desktop/Assignment3_3130/carballo/core/src/main/java/com/alonsoruibal/chess/Piece.java,3
